model,score,rating_q025,rating_q975,CI,avg_tokens,date
glm-4-0520,63.84,61.72,66.26,"(-2.12, +2.42)",636.0,2025-01-27
yi-large,63.7,61.53,66.16,"(-2.17, +2.46)",626.0,2025-01-27
deepseek-coder-v2,62.3,59.83,64.23,"(-2.47, +1.93)",578.0,2025-01-27
claude-3-opus-20240229,60.36,57.68,62.4,"(-2.68, +2.04)",541.0,2025-01-27
gemma-2-27b-it,57.51,55.42,59.81,"(-2.09, +2.30)",577.0,2025-01-27
llama-3.1-70b-instruct,55.73,53.21,57.83,"(-2.52, +2.10)",628.0,2025-01-27
glm-4-0116,55.72,52.97,58.09,"(-2.75, +2.37)",622.0,2025-01-27
sky-T1-32B-Preview-cot-8192-extracted-soln,54.74,51.78,57.27,"(-2.96, +2.53)",2623.0,2025-01-27
gemini-1.5-pro-api-0409-preview,53.37,50.89,56.36,"(-2.48, +2.99)",478.0,2025-01-27
qwq-32b-preview,52.6,50.76,54.91,"(-1.84, +2.31)",1005.0,2025-01-27
glm-4-air,50.88,48.09,52.92,"(-2.79, +2.04)",619.0,2025-01-27
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-01-27
gemini-1.5-flash-api-0514,49.61,47.46,52.26,"(-2.15, +2.65)",642.0,2025-01-27
qwen2-72b-instruct,46.86,44.56,49.53,"(-2.30, +2.67)",515.0,2025-01-27
claude-3-sonnet-20240229,46.8,44.51,49.71,"(-2.29, +2.91)",552.0,2025-01-27
llama-3-70b-instruct,46.57,43.72,49.3,"(-2.85, +2.73)",591.0,2025-01-27
sky-T1-32B-Preview-cot-extracted-soln,46.43,43.49,48.82,"(-2.94, +2.39)",2294.0,2025-01-27
llama-3.1-nemotron-51b-instruct,45.41,43.35,48.08,"(-2.06, +2.67)",747.0,2025-01-27
gemma-2-9b-it,41.99,39.97,44.34,"(-2.02, +2.35)",541.0,2025-01-27
claude-3-haiku-20240307,41.47,39.29,43.9,"(-2.18, +2.43)",505.0,2025-01-27
sky-T1-32B-Preview-cot,38.42,36.28,40.5,"(-2.14, +2.08)",2294.0,2025-01-27
gpt-4-0613,37.9,35.01,40.33,"(-2.89, +2.43)",354.0,2025-01-27
mistral-large-2402,37.71,35.68,40.24,"(-2.03, +2.53)",400.0,2025-01-27
mixtral-8x22b-instruct-v0.1,36.36,34.05,38.52,"(-2.31, +2.16)",430.0,2025-01-27
qwen1.5-72b-chat,36.12,34.27,38.36,"(-1.85, +2.24)",474.0,2025-01-27
phi-3-medium-4k-instruct,33.37,31.22,35.66,"(-2.15, +2.29)",517.0,2025-01-27
command-r-plus,33.07,30.61,34.83,"(-2.46, +1.76)",541.0,2025-01-27
mistral-medium,31.9,29.83,34.14,"(-2.07, +2.24)",485.0,2025-01-27
internlm2-20b-5-chat,31.2,29.03,33.5,"(-2.17, +2.30)",576.0,2025-01-27
phi-3-small-8k-instruct,29.77,27.32,31.92,"(-2.45, +2.15)",568.0,2025-01-27
mistral-next,27.37,25.46,29.57,"(-1.91, +2.20)",297.0,2025-01-27
gpt-3.5-turbo-0613,24.82,23.08,26.34,"(-1.74, +1.52)",401.0,2025-01-27
dbrx-instruct-preview,24.63,22.15,27.2,"(-2.48, +2.57)",415.0,2025-01-27
internlm2-20b-chat,24.45,22.14,26.32,"(-2.31, +1.87)",667.0,2025-01-27
claude-2.0,23.99,21.93,26.02,"(-2.06, +2.03)",295.0,2025-01-27
mixtral-8x7b-instruct-v0.1,23.4,21.29,25.15,"(-2.11, +1.75)",457.0,2025-01-27
gpt-3.5-turbo-0125,23.34,21.27,24.93,"(-2.07, +1.59)",329.0,2025-01-27
yi-34b-chat,23.15,21.4,25.15,"(-1.75, +2.00)",611.0,2025-01-27
starling-lm-7b-beta,23.01,21.33,25.09,"(-1.68, +2.08)",530.0,2025-01-27
claude-2.1,22.77,20.64,24.45,"(-2.13, +1.68)",290.0,2025-01-27
llama-3.1-8b-instruct,21.34,19.23,23.14,"(-2.11, +1.80)",861.0,2025-01-27
snorkel-mistral-pairrm-dpo,20.73,19.26,22.84,"(-1.47, +2.11)",564.0,2025-01-27
llama-3-8b-instruct,20.56,18.87,22.29,"(-1.69, +1.73)",585.0,2025-01-27
gpt-3.5-turbo-1106,18.87,16.93,21.09,"(-1.94, +2.22)",285.0,2025-01-27
gpt-3.5-turbo-0314,18.05,16.2,19.73,"(-1.85, +1.68)",334.0,2025-01-27
gemini-pro,17.8,15.84,19.42,"(-1.96, +1.62)",322.0,2025-01-27
snowflake-arctic-instruct,17.61,16.03,19.49,"(-1.58, +1.88)",365.0,2025-01-27
command-r,17.02,15.03,18.47,"(-1.99, +1.45)",432.0,2025-01-27
phi-3-mini-128k-instruct,15.43,13.92,16.71,"(-1.51, +1.28)",609.0,2025-01-27
tulu-2-dpo-70b,14.99,13.21,16.94,"(-1.78, +1.95)",550.0,2025-01-27
starling-lm-7b-alpha,12.8,11.62,14.17,"(-1.18, +1.37)",483.0,2025-01-27
mistral-7b-instruct,12.57,11.42,14.0,"(-1.15, +1.43)",541.0,2025-01-27
gemma-1.1-7b-it,12.09,10.69,13.34,"(-1.40, +1.25)",341.0,2025-01-27
llama-2-70b-chat,11.55,10.22,12.89,"(-1.33, +1.34)",595.0,2025-01-27
vicuna-33b,8.63,7.38,9.76,"(-1.25, +1.13)",451.0,2025-01-27
gemma-7b-it,7.47,6.64,8.44,"(-0.83, +0.97)",378.0,2025-01-27
gemma-1.1-2b-it,3.37,2.66,4.13,"(-0.71, +0.76)",316.0,2025-01-27
gemma-2b-it,3.0,2.25,3.69,"(-0.75, +0.69)",369.0,2025-01-27
