model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4-0613,37.9,35.07,40.39,"(-2.83, +2.49)",354.0,2025-01-23
mistral-large-2402,37.71,35.28,39.58,"(-2.43, +1.87)",400.0,2025-01-23
mixtral-8x22b-instruct-v0.1,36.36,34.1,38.57,"(-2.26, +2.21)",430.0,2025-01-23
qwen1.5-72b-chat,36.12,34.24,38.48,"(-1.88, +2.36)",474.0,2025-01-23
phi-3-medium-4k-instruct,33.37,30.98,35.63,"(-2.39, +2.26)",517.0,2025-01-23
command-r-plus,33.07,30.58,34.85,"(-2.49, +1.78)",541.0,2025-01-23
mistral-medium,31.9,29.93,34.43,"(-1.97, +2.53)",485.0,2025-01-23
internlm2-20b-5-chat,31.2,29.26,33.36,"(-1.94, +2.16)",576.0,2025-01-23
phi-3-small-8k-instruct,29.77,27.32,31.85,"(-2.45, +2.08)",568.0,2025-01-23
mistral-next,27.37,25.1,29.38,"(-2.27, +2.01)",297.0,2025-01-23
gpt-3.5-turbo-0613,24.82,22.47,26.83,"(-2.35, +2.01)",401.0,2025-01-23
dbrx-instruct-preview,24.63,22.33,26.96,"(-2.30, +2.33)",415.0,2025-01-23
internlm2-20b-chat,24.45,22.34,26.27,"(-2.11, +1.82)",667.0,2025-01-23
claude-2.0,23.99,21.27,26.07,"(-2.72, +2.08)",295.0,2025-01-23
mixtral-8x7b-instruct-v0.1,23.4,21.69,25.76,"(-1.71, +2.36)",457.0,2025-01-23
gpt-3.5-turbo-0125,23.34,21.59,25.44,"(-1.75, +2.10)",329.0,2025-01-23
yi-34b-chat,23.15,21.44,25.15,"(-1.71, +2.00)",611.0,2025-01-23
starling-lm-7b-beta,23.01,21.48,25.07,"(-1.53, +2.06)",530.0,2025-01-23
claude-2.1,22.77,20.4,24.45,"(-2.37, +1.68)",290.0,2025-01-23
llama-3.1-8b-instruct,21.34,19.19,22.91,"(-2.15, +1.57)",861.0,2025-01-23
snorkel-mistral-pairrm-dpo,20.73,19.2,22.5,"(-1.53, +1.77)",564.0,2025-01-23
llama-3-8b-instruct,20.56,18.57,22.19,"(-1.99, +1.63)",585.0,2025-01-23
gpt-3.5-turbo-1106,18.87,17.03,20.55,"(-1.84, +1.68)",285.0,2025-01-23
gpt-3.5-turbo-0314,18.05,16.31,20.19,"(-1.74, +2.14)",334.0,2025-01-23
gemini-pro,17.8,15.88,19.53,"(-1.92, +1.73)",322.0,2025-01-23
snowflake-arctic-instruct,17.61,16.14,19.07,"(-1.47, +1.46)",365.0,2025-01-23
command-r,17.02,15.41,18.64,"(-1.61, +1.62)",432.0,2025-01-23
phi-3-mini-128k-instruct,15.43,13.97,16.78,"(-1.46, +1.35)",609.0,2025-01-23
tulu-2-dpo-70b,14.99,13.21,16.94,"(-1.78, +1.95)",550.0,2025-01-23
starling-lm-7b-alpha,12.8,11.64,14.14,"(-1.16, +1.34)",483.0,2025-01-23
mistral-7b-instruct,12.57,11.05,14.26,"(-1.52, +1.69)",541.0,2025-01-23
gemma-1.1-7b-it,12.09,10.7,13.43,"(-1.39, +1.34)",341.0,2025-01-23
llama-2-70b-chat,11.55,10.2,12.88,"(-1.35, +1.33)",595.0,2025-01-23
vicuna-33b,8.63,7.37,9.64,"(-1.26, +1.01)",451.0,2025-01-23
gemma-7b-it,7.47,6.34,8.71,"(-1.13, +1.24)",378.0,2025-01-23
gemma-1.1-2b-it,3.37,2.66,4.13,"(-0.71, +0.76)",316.0,2025-01-23
gemma-2b-it,3.0,2.27,3.72,"(-0.73, +0.72)",369.0,2025-01-23
