model,score,rating_q025,rating_q975,CI,avg_tokens,date
gemma-2-27b-it,48.71,46.48,51.51,"(-2.23, +2.80)",577.0,2025-01-27
gemini-1.5-pro-api-0409-preview,47.77,45.18,50.59,"(-2.59, +2.82)",478.0,2025-01-27
claude-3-haiku-20240307,46.4,43.97,48.77,"(-2.43, +2.37)",505.0,2025-01-27
mistral-large-2402,46.06,43.96,48.62,"(-2.10, +2.56)",400.0,2025-01-27
llama-3-70b-instruct,45.64,42.69,48.57,"(-2.95, +2.93)",591.0,2025-01-27
mixtral-8x22b-instruct-v0.1,44.81,42.29,47.29,"(-2.52, +2.48)",430.0,2025-01-27
sky-T1-32B-Preview-cot-extracted-soln,41.52,38.81,44.37,"(-2.71, +2.85)",849.0,2025-01-27
llama-3.1-nemotron-51b-instruct,41.25,39.11,43.97,"(-2.14, +2.72)",747.0,2025-01-27
gemini-1.5-flash-api-0514,41.19,39.18,44.13,"(-2.01, +2.94)",642.0,2025-01-27
qwen1.5-72b-chat,40.67,38.62,42.96,"(-2.05, +2.29)",474.0,2025-01-27
mistral-medium,40.0,37.62,42.3,"(-2.38, +2.30)",485.0,2025-01-27
phi-3-medium-4k-instruct,39.82,37.24,42.09,"(-2.58, +2.27)",517.0,2025-01-27
mistral-next,39.53,37.28,42.21,"(-2.25, +2.68)",297.0,2025-01-27
command-r-plus,38.45,35.87,40.32,"(-2.58, +1.87)",541.0,2025-01-27
claude-2.0,36.76,33.95,39.17,"(-2.81, +2.41)",295.0,2025-01-27
gpt-3.5-turbo-0613,35.35,33.02,37.0,"(-2.33, +1.65)",401.0,2025-01-27
claude-2.1,35.15,32.51,37.2,"(-2.64, +2.05)",290.0,2025-01-27
phi-3-small-8k-instruct,34.79,31.99,37.19,"(-2.80, +2.40)",568.0,2025-01-27
gpt-3.5-turbo-0125,34.71,31.74,36.87,"(-2.97, +2.16)",329.0,2025-01-27
gemma-2-9b-it,34.48,32.58,36.88,"(-1.90, +2.40)",541.0,2025-01-27
gpt-3.5-turbo-1106,32.78,29.92,35.64,"(-2.86, +2.86)",285.0,2025-01-27
dbrx-instruct-preview,32.52,29.58,35.27,"(-2.94, +2.75)",415.0,2025-01-27
qwq-32b-preview,32.29,30.61,34.76,"(-1.68, +2.47)",1005.0,2025-01-27
internlm2-20b-5-chat,31.4,29.41,33.91,"(-1.99, +2.51)",576.0,2025-01-27
mixtral-8x7b-instruct-v0.1,30.55,27.7,32.86,"(-2.85, +2.31)",457.0,2025-01-27
gpt-3.5-turbo-0314,29.51,26.83,31.7,"(-2.68, +2.19)",334.0,2025-01-27
starling-lm-7b-beta,27.15,25.23,29.42,"(-1.92, +2.27)",530.0,2025-01-27
snowflake-arctic-instruct,26.24,24.21,28.91,"(-2.03, +2.67)",365.0,2025-01-27
gemini-pro,24.85,22.39,27.37,"(-2.46, +2.52)",322.0,2025-01-27
command-r,23.8,21.25,25.56,"(-2.55, +1.76)",432.0,2025-01-27
snorkel-mistral-pairrm-dpo,22.98,21.26,24.93,"(-1.72, +1.95)",564.0,2025-01-27
yi-34b-chat,22.87,20.98,24.95,"(-1.89, +2.08)",611.0,2025-01-27
internlm2-20b-chat,22.23,20.01,23.91,"(-2.22, +1.68)",667.0,2025-01-27
sky-T1-32B-Preview-cot,21.24,19.58,22.87,"(-1.66, +1.63)",2294.0,2025-01-27
llama-3-8b-instruct,20.56,18.83,22.41,"(-1.73, +1.85)",585.0,2025-01-27
llama-3.1-8b-instruct,19.35,17.36,21.03,"(-1.99, +1.68)",861.0,2025-01-27
tulu-2-dpo-70b,18.83,16.76,21.18,"(-2.07, +2.35)",550.0,2025-01-27
starling-lm-7b-alpha,17.04,15.54,18.61,"(-1.50, +1.57)",483.0,2025-01-27
phi-3-mini-128k-instruct,16.9,15.25,18.27,"(-1.65, +1.37)",609.0,2025-01-27
mistral-7b-instruct,15.89,14.48,17.58,"(-1.41, +1.69)",541.0,2025-01-27
llama-2-70b-chat,14.15,12.42,15.65,"(-1.73, +1.50)",595.0,2025-01-27
vicuna-33b,12.14,10.42,13.74,"(-1.72, +1.60)",451.0,2025-01-27
gemma-1.1-7b-it,11.74,10.5,13.1,"(-1.24, +1.36)",341.0,2025-01-27
gemma-7b-it,7.21,6.44,8.34,"(-0.77, +1.13)",378.0,2025-01-27
gemma-1.1-2b-it,3.55,2.89,4.4,"(-0.66, +0.85)",316.0,2025-01-27
gemma-2b-it,2.99,2.4,3.61,"(-0.59, +0.62)",369.0,2025-01-27
