model,score,rating_q025,rating_q975,CI,avg_tokens,date
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,61.84,66.24,"(-2.36, +2.04)",635.0,2025-01-26
glm-4-0520,63.84,61.9,66.15,"(-1.94, +2.31)",636.0,2025-01-26
yi-large,63.7,61.24,66.43,"(-2.46, +2.73)",626.0,2025-01-26
deepseek-coder-v2,62.3,59.84,64.28,"(-2.46, +1.98)",578.0,2025-01-26
claude-3-opus-20240229,60.36,57.66,62.7,"(-2.70, +2.34)",541.0,2025-01-26
gemma-2-27b-it,57.51,55.38,59.5,"(-2.13, +1.99)",577.0,2025-01-26
llama-3.1-70b-instruct,55.73,53.24,57.98,"(-2.49, +2.25)",628.0,2025-01-26
glm-4-0116,55.72,53.1,58.15,"(-2.62, +2.43)",622.0,2025-01-26
gemini-1.5-pro-api-0409-preview,53.37,50.83,56.31,"(-2.54, +2.94)",478.0,2025-01-26
qwq-32b-preview,52.6,50.82,54.96,"(-1.78, +2.36)",1005.0,2025-01-26
glm-4-air,50.88,47.94,52.95,"(-2.94, +2.07)",619.0,2025-01-26
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-01-26
gemini-1.5-flash-api-0514,49.61,47.15,52.26,"(-2.46, +2.65)",642.0,2025-01-26
qwen2-72b-instruct,46.86,44.73,49.48,"(-2.13, +2.62)",515.0,2025-01-26
claude-3-sonnet-20240229,46.8,44.57,49.16,"(-2.23, +2.36)",552.0,2025-01-26
llama-3-70b-instruct,46.57,43.81,49.33,"(-2.76, +2.76)",591.0,2025-01-26
llama-3.1-nemotron-51b-instruct,45.41,42.75,47.67,"(-2.66, +2.26)",747.0,2025-01-26
gemma-2-9b-it,41.99,39.34,44.4,"(-2.65, +2.41)",541.0,2025-01-26
claude-3-haiku-20240307,41.47,39.34,43.96,"(-2.13, +2.49)",505.0,2025-01-26
sky-T1-32B-Preview-cot,38.42,36.16,40.54,"(-2.26, +2.12)",2294.0,2025-01-26
gpt-4-0613,37.9,35.15,40.36,"(-2.75, +2.46)",354.0,2025-01-26
mistral-large-2402,37.71,35.57,40.22,"(-2.14, +2.51)",400.0,2025-01-26
mixtral-8x22b-instruct-v0.1,36.36,34.16,38.48,"(-2.20, +2.12)",430.0,2025-01-26
qwen1.5-72b-chat,36.12,34.19,38.42,"(-1.93, +2.30)",474.0,2025-01-26
phi-3-medium-4k-instruct,33.37,30.99,35.72,"(-2.38, +2.35)",517.0,2025-01-26
command-r-plus,33.07,30.5,34.83,"(-2.57, +1.76)",541.0,2025-01-26
mistral-medium,31.9,30.04,34.6,"(-1.86, +2.70)",485.0,2025-01-26
internlm2-20b-5-chat,31.2,29.29,33.41,"(-1.91, +2.21)",576.0,2025-01-26
phi-3-small-8k-instruct,29.77,27.31,31.81,"(-2.46, +2.04)",568.0,2025-01-26
mistral-next,27.37,25.08,29.44,"(-2.29, +2.07)",297.0,2025-01-26
gpt-3.5-turbo-0613,24.82,22.82,26.13,"(-2.00, +1.31)",401.0,2025-01-26
dbrx-instruct-preview,24.63,22.28,26.98,"(-2.35, +2.35)",415.0,2025-01-26
internlm2-20b-chat,24.45,22.32,26.25,"(-2.13, +1.80)",667.0,2025-01-26
claude-2.0,23.99,21.22,26.0,"(-2.77, +2.01)",295.0,2025-01-26
mixtral-8x7b-instruct-v0.1,23.4,21.77,25.73,"(-1.63, +2.33)",457.0,2025-01-26
gpt-3.5-turbo-0125,23.34,21.58,25.52,"(-1.76, +2.18)",329.0,2025-01-26
yi-34b-chat,23.15,21.4,25.13,"(-1.75, +1.98)",611.0,2025-01-26
starling-lm-7b-beta,23.01,21.49,25.06,"(-1.52, +2.05)",530.0,2025-01-26
claude-2.1,22.77,20.48,24.48,"(-2.29, +1.71)",290.0,2025-01-26
llama-3.1-8b-instruct,21.34,19.61,22.98,"(-1.73, +1.64)",861.0,2025-01-26
snorkel-mistral-pairrm-dpo,20.73,18.46,22.47,"(-2.27, +1.74)",564.0,2025-01-26
llama-3-8b-instruct,20.56,18.55,22.21,"(-2.01, +1.65)",585.0,2025-01-26
gpt-3.5-turbo-1106,18.87,16.83,20.6,"(-2.04, +1.73)",285.0,2025-01-26
gpt-3.5-turbo-0314,18.05,16.28,20.25,"(-1.77, +2.20)",334.0,2025-01-26
gemini-pro,17.8,15.87,19.52,"(-1.93, +1.72)",322.0,2025-01-26
snowflake-arctic-instruct,17.61,16.13,19.06,"(-1.48, +1.45)",365.0,2025-01-26
command-r,17.02,15.34,19.11,"(-1.68, +2.09)",432.0,2025-01-26
phi-3-mini-128k-instruct,15.43,13.97,16.82,"(-1.46, +1.39)",609.0,2025-01-26
tulu-2-dpo-70b,14.99,13.23,16.91,"(-1.76, +1.92)",550.0,2025-01-26
starling-lm-7b-alpha,12.8,11.61,14.17,"(-1.19, +1.37)",483.0,2025-01-26
mistral-7b-instruct,12.57,11.01,14.23,"(-1.56, +1.66)",541.0,2025-01-26
gemma-1.1-7b-it,12.09,10.73,13.42,"(-1.36, +1.33)",341.0,2025-01-26
llama-2-70b-chat,11.55,10.2,12.9,"(-1.35, +1.35)",595.0,2025-01-26
vicuna-33b,8.63,7.42,9.63,"(-1.21, +1.00)",451.0,2025-01-26
gemma-7b-it,7.47,6.38,8.7,"(-1.09, +1.23)",378.0,2025-01-26
gemma-1.1-2b-it,3.37,2.66,4.1,"(-0.71, +0.73)",316.0,2025-01-26
gemma-2b-it,3.0,2.31,3.75,"(-0.69, +0.75)",369.0,2025-01-26
